Date,Open,High,Low,Close,Adj Close,Volume,month,year,day
1962-01-02,7.713332999999999,7.713333,7.626666999999999,7.626666999999999,0.609973,387200.0,1,1962,2
1962-01-03,7.626666999999998,7.693333,7.626666999999999,7.693333,0.615304,288000.0,1,1962,3
1962-01-04,7.693333000000003,7.693333,7.613333,7.616667,0.609173,256000.0,1,1962,4
1962-01-05,7.606667000000002,7.606667,7.453333,7.466667,0.597176,363200.0,1,1962,5
1962-01-08,7.460000000000001,7.46,7.266667,7.326667,0.585979,544000.0,1,1962,8
1962-01-09,7.359999999999999,7.506667,7.36,7.413333000000001,0.59291,491200.0,1,1962,9
1962-01-10,7.426667000000002,7.46,7.426667,7.426667,0.5939770000000001,299200.0,1,1962,10
1962-01-11,7.446666999999998,7.506667,7.446667,7.506667,0.600375,315200.0,1,1962,11
1962-01-12,7.519999999999996,7.573333,7.52,7.52,0.601441,435200.0,1,1962,12
1962-01-15,7.546666999999999,7.57,7.546667,7.553333,0.604107,251200.0,1,1962,15
1962-01-16,7.546666999999999,7.546667,7.473333,7.473333,0.597709,251200.0,1,1962,16
1962-01-17,7.439999999999998,7.44,7.3333330000000005,7.353333,0.5881109999999999,419200.0,1,1962,17
1962-01-18,7.373333000000002,7.446667,7.373333000000001,7.373333000000001,0.589711,371200.0,1,1962,18
1962-01-19,7.373333000000002,7.393333,7.293334,7.38,0.590244,400000.0,1,1962,19
1962-01-22,7.380000000000003,7.453333,7.36,7.366667,0.589178,275200.0,1,1962,22
1962-01-23,7.363332999999997,7.373333000000001,7.28,7.293334,0.583313,371200.0,1,1962,23
1962-01-24,7.2933340000000015,7.3333330000000005,7.256667,7.3333330000000005,0.586512,408000.0,1,1962,24
1962-01-25,7.333333000000003,7.393333,7.24,7.253334,0.580114,315200.0,1,1962,25
1962-01-26,7.253334000000002,7.28,7.213333,7.216667,0.577181,243200.0,1,1962,26
1962-01-29,7.216667000000001,7.266667,7.093333,7.093333,0.567317,579200.0,1,1962,29
1962-01-30,7.093333000000001,7.133333,7.003334,7.003334,0.5601189999999999,736000.0,1,1962,30
1962-01-31,7.073332999999998,7.226666000000001,7.073333,7.226666000000001,0.5779810000000001,760000.0,1,1962,31
1962-02-01,7.299999999999997,7.413333000000001,7.3,7.393333,0.5913109999999999,640000.0,2,1962,1
1962-02-02,7.393332999999998,7.44,7.36,7.44,0.595043,507200.0,2,1962,2
1962-02-05,7.439999999999998,7.44,7.306667,7.346667,0.5875779999999999,312000.0,2,1962,5
1962-02-06,7.3466669999999965,7.36,7.32,7.353333,0.588191,256000.0,2,1962,6
1962-02-07,7.359999999999999,7.4,7.36,7.36,0.588725,251200.0,2,1962,7
1962-02-08,7.359999999999999,7.4,7.36,7.366667,0.589258,16000.0,2,1962,8
1962-02-09,7.366667,7.42,7.3333330000000005,7.42,0.5935239999999999,432000.0,2,1962,9
1962-02-12,7.420000000000002,7.48,7.413333000000001,7.426667,0.594058,280000.0,2,1962,12
1962-02-13,7.426667000000002,7.433333,7.306667,7.306667,0.5844590000000001,256000.0,2,1962,13
1962-02-14,7.306666999999997,7.3333330000000005,7.28,7.293334,0.583393,208000.0,2,1962,14
1962-02-15,7.2933340000000015,7.293334,7.26,7.266667,0.58126,227200.0,2,1962,15
1962-02-16,7.266666999999998,7.293334,7.26,7.26,0.5807260000000001,219200.0,2,1962,16
1962-02-19,7.259999999999998,7.293334,7.173333,7.186666000000001,0.57486,280000.0,2,1962,19
1962-02-20,7.189999999999998,7.226666000000001,7.19,7.19,0.575127,288000.0,2,1962,20
1962-02-21,7.189999999999998,7.24,7.136667,7.136667,0.57086,363200.0,2,1962,21
1962-02-23,7.146667000000001,7.173333,7.146667,7.16,0.5727270000000001,288000.0,2,1962,23
1962-02-26,7.159999999999997,7.1666669999999995,7.12,7.133333,0.5705939999999999,299200.0,2,1962,26
1962-02-27,7.133333,7.193333,7.093333,7.146667,0.5716600000000001,347200.0,2,1962,27
1962-02-28,7.146667000000001,7.16,7.106667,7.16,0.5727270000000001,267200.0,2,1962,28
1962-03-01,7.186666000000002,7.246666,7.186666000000001,7.246666,0.579659,280000.0,3,1962,1
1962-03-02,7.306666999999997,7.346667,7.306667,7.306667,0.5844590000000001,243200.0,3,1962,2
1962-03-05,7.306666999999997,7.306667,7.253334,7.28,0.582325,360000.0,3,1962,5
1962-03-06,7.280000000000001,7.313333999999999,7.266667,7.286667,0.582859,184000.0,3,1962,6
1962-03-07,7.286667000000001,7.31,7.266667,7.31,0.584725,123200.0,3,1962,7
1962-03-08,7.310000000000002,7.326667,7.266667,7.326667,0.586059,184000.0,3,1962,8
1962-03-09,7.333333000000003,7.373333000000001,7.3333330000000005,7.373333000000001,0.589791,288000.0,3,1962,9
1962-03-12,7.373333000000002,7.393333,7.346667,7.366667,0.589258,280000.0,3,1962,12
1962-03-13,7.366667,7.366667,7.3333330000000005,7.36,0.588725,123200.0,3,1962,13
1962-03-14,7.359999999999999,7.38,7.3333330000000005,7.346667,0.587658,195200.0,3,1962,14
1962-03-15,7.3466669999999965,7.386667,7.3333330000000005,7.3333330000000005,0.586592,243200.0,3,1962,15
1962-03-16,7.333333000000003,7.366667,7.3333330000000005,7.366667,0.589258,160000.0,3,1962,16
1962-03-19,7.380000000000003,7.413333000000001,7.38,7.386667,0.590858,371200.0,3,1962,19
1962-03-20,7.373333000000002,7.373333000000001,7.34,7.34,0.587125,160000.0,3,1962,20
1962-03-21,7.340000000000003,7.36,7.32,7.346667,0.587658,256000.0,3,1962,21
1962-03-22,7.32,7.32,7.266667,7.266667,0.58126,240000.0,3,1962,22
1962-03-23,7.273333999999998,7.306667,7.273333999999999,7.293334,0.583393,184000.0,3,1962,23
1962-03-26,7.2933340000000015,7.32,7.28,7.29,0.583125,131200.0,3,1962,26
